a	ə
dirigir-te	d i . ɾ i . ʒ ˈi ɾ t ə
dirigit	d i . ɾ i . ʒ ˈi t
dirimir	d i . ɾ i . m ˈi
dir-l'hi	d ˈi ɾ l i
dir-li	d ˈi ɾ l i
dir-li-ho	d ˈi ɾ l i u
dir-me	d ˈi ɾ m ə
dir-ne	d ˈi ɾ n ə
dir-vos	d ˈi ɾ b u s
disbarat	d i s . b ə . ɾ ˈa t
disbauxa	d i s . b ˈa w . ʃ ə
disbauxat	d i s . b ə w . ʃ ˈa t
disc	d ˈi s k
discapacitat	d i s . k ə . p ə . s i . t ˈa t
disciplina	d i s . s i . p l ˈi . n ə
disciplines	d i s . s i . p l ˈi . n ə s
discjòqueis	d i s k . ʒ ˈɔ . k ə j s
discos	d ˈi s . k u s
discoteca	d i s . k u . t ˈɛ . k ə
discoteques	d i s . k u . t ˈɛ . k ə s
discrepància	d i s . k ɾ ə . p ˈa n . s i . ə
discrepi	d i s . k ɾ ˈe . p i
discrepo	d i s . k ɾ ˈe . p u
discretes	d i s . k ɾ ˈɛ . t ə s
discriminació	d i s . k ɾ i . m i . n ə . s i . ˈo
discriminatòria	d i s . k ɾ i . m i . n ə . t ˈɔ . ɾ i . ə
discs	d ˈi s k s
disculpar-se	d i s . k u l . p ˈa ɾ s ə
disculpes	d i s . k ˈu l . p ə s
disculpeu	d i s . k u l . p ˈɛ w
discurs	d i s . k ˈu ɾ s
discussió	d i s . k u . s i . ˈo
discuteix	d i s . k u . t ˈɛ ʃ
discuteixes	d i s . k u . t ˈɛ ʃ ə s
discutir-la	d i s . k u . t ˈi ɾ l ə
disfressa	d i s . f ɾ ˈɛ . s ə
disfressada	d i s . f ɾ ə . s ˈa . ð ə
disfressat	d i s . f ɾ ə . s ˈa t
disfrutes	d i s . f ɾ ˈu . t ə s
disfruteu-lo	d i s . f ɾ u . t ˈe w l u
disgust	d i s . g ˈu s t
disgustos	d i s . g ˈu s . t u s
disminuïda	d i s . m i . n u . ˈi . ð ə
disminuïts	d i s . m i . n u . ˈi t s
disminució	d i s . m i . n u . s i . ˈo
disminuir	d i s . m i . n u . ˈi
disney	d i s . n ˈe j
dispara	d i s . p ˈa . ɾ ə
disparada	d i s . p ə . ɾ ˈa . ð ə
disparés	d i s . p ə . ɾ ˈe s
disparat	d i s . p ə . ɾ ˈa t
dispareu	d i s . p ə . ɾ ˈɛ w
dispars	d i s . p ˈa ɾ s
dispersos	d i s . p ˈe ɾ . s u s
disponibilitat	d i s . p u . n i . β i . l i . t ˈa t
disponible	d i s . p u . n ˈi . β l ə
disponibles	d i s . p u . n ˈi . β l ə s
disposa	d i s . p ˈɔ . z ə
disposada	d i s . p u . z ˈa . ð ə
disposar	d i s . p u . z ˈa
disposarà	d i s . p u . z ə . ɾ ˈa
disposaràs	d i s . p u . z ə . ɾ ˈa s
disposat	d i s . p u . z ˈa t
disposaven	d i s . p u . z ˈa . b ə n
disposaves	d i s . p u . z ˈa . b ə s
disposem	d i s . p u . z ˈɛ m
disposen	d i s . p ˈɔ . z ə n
disposeu	d i s . p u . z ˈɛ w
disposició	d i s . p u . z i . s i . ˈo
disposicions	d i s . p u . z i . s i . ˈo n s
dispositiu	d i s . p u . z i . t ˈi w
dispositius	d i s . p u . z i . t ˈi w s
disposo	d i s . p ˈɔ . z u
disputes	d i s . p ˈu . t ə s
disquet	d i s k ˈɛ t
disruptor	d i s . r u p . t ˈo
dissabte	d i . s ˈa b . t ə
dissabtes	d i . s ˈa b . t ə s
disseny	d i . s ˈɛ ɲ
dissenyades	d i . s ə . ɲ ˈa . ð ə s
dissenyadora	d i . s ə . ɲ ə . d ˈo . ɾ ə
dissenyar	d i . s ə . ɲ ˈa
dissertaven	d i . s ə ɾ . t ˈa . b ə n
disset	d i . s ˈɛ t
dissetè	d i . s ə . t ˈɛ
dissetena	d i . s ə . t ˈɛ . n ə
dissimula	d i . s i . m ˈu . l ə
dissimular	d i . s i . m u . l ˈa
dissoldre's	d i . s ˈɔ l . d ɾ ə s
distancia	d i s . t ə n . s ˈi . ə
distant	d i s . t ˈa n 
distants	d i s . t ˈa n s
distaven	d i s . t ˈa . b ə n
distància	d i s . t ˈa n . s i . ə
distendre	d i s . t ˈɛ n . d ɾ ə
distinció	d i s . t i n . s i . ˈo
distingeixo	d i s . t i n . ʒ ˈɛ ʃ u
distingint	d i s . t i n . ʒ ˈi n 
distingir	d i s . t i n . ʒ ˈi
distintes	d i s . t ˈi n . t ə s
distintiu	d i s . t i n . t ˈi w
distorsions	d i s . t u ɾ . s i . ˈo n s
distragué	d i s . t ɾ ə . g ˈe
distret	d i s . t ɾ ˈe t
distreta	d i s . t ɾ ˈe . t ə
distrets	d i s . t ɾ ˈe t s
distreuen	d i s . t ɾ ˈe . w ə n
distreure'm	d i s . t ɾ ˈe w . ɾ ə m
distreus	d i s . t ɾ ˈɛ w s
distribuïdor	d i s . t ɾ i . β u . ˈi . d ˈo
distribuïts	d i s . t ɾ i . β u . ˈi t s
distribució	d i s . t ɾ i . β u . s i . ˈo
distribucions	d i s . t ɾ i . β u . s i . ˈo n s
distribueixin	d i s . t ɾ i . β u . ˈɛ ʃ i n
distribuir	d i s . t ɾ i . β u . ˈi
distribuir-la	d i s . t ɾ i . β u . ˈi ɾ l ə
districte	d i s . t ɾ ˈi k . t ə
districtes	d i s . t ɾ ˈi k . t ə s
disturbis	d i s . t ˈu ɾ . b i s
dit	d ˈi t
dits	d ˈi t s
diu	d ˈi w
diuen	d ˈi . w ə n
diumenge	d i w . m ˈe n . ʒ ə
diumenges	d i w . m ˈɛ n . ʒ ə s
dius	d ˈi w s
divaga	d i . b ˈa . ɣ ə
divendres	d i . b ˈɛ n . d ɾ ə s
diverses	d i . b ˈɛ ɾ . s ə s
diversió	d i . β ə ɾ . s i . ˈo
diversitat	d i . β ə ɾ . s i . t ˈa t
diversos	d i . b ˈɛ ɾ . s u s
diverteixo	d i . β ə ɾ . t ˈɛ ʃ u
divertida	d i . β ə ɾ . t ˈi . ð ə
divertit	d i . β ə ɾ . t ˈi t
divertits	d i . β ə ɾ . t ˈi t s
dividint	d i . β i . ð ˈi n 
dividir	d i . β i . ð ˈi
dividir-se	d i . β i . ð ˈi ɾ s ə
dividits	d i . β i . ð ˈi t s
divina	d i . β ˈi . n ə
divises	d i . β ˈi . z ə s
divisió	d i . β i . z i . ˈo
divisibilitat	d i . β i . z i . β i . l i . t ˈa t
divisor	d i . β i . z ˈo
divisors	d i . β i . z ˈo s
divorci	d i . b ˈɔ ɾ . s i
divuit	d i . β ˈu j t
divuitè	d i . β u j . t ˈɛ
divuitena	d i . β u j . t ˈɛ . n ə
do	d ˈo
dobla	d ˈo . b l ə
doblatge	d u . β l ˈa d . ʒ ə
doble	d ˈo . b l ə
doblement	d ˈo . b l ə . m ˈe n 
docència	d u . s ˈɛ n . s i . ə
docent	d u . s ˈe n 
doctes	d ˈɔ k . t ə s
doctor	d u k . t ˈo
doctora	d u k . t ˈo . ɾ ə
doctoral	d u k . t u . ɾ ˈa l
doctrines	d u k . t ɾ ˈi . n ə s
document	d ˈɔ . k u . m ˈe n 
documentació	d u . k u . m ə n . t ə . s i . ˈo
documents	d u . k u . m ˈe n s
dodecàedres	d u . ð ə . k ˈa . e . ð ɾ ə s
dogmàtics	d u g . m ˈa . t i k s
dojo	d ˈo . ʒ u
dolç	d ˈo l s
dolça	d ˈo l . s ə
dolçament	d ˈɔ l . s ə . m ˈe n 
dolços	d ˈo l . s u s
dolent	d u . l ˈe n 
dolenta	d u . l ˈe n . t ə
dolentot	d u . l ə n . t ˈɔ t
dolents	d u . l ˈe n s
doll	d ˈɔ ʎ
dolor	d u . l ˈo
dolorós	d u . l u . ɾ ˈo s
doloroses	d u . l u . ɾ ˈɔ . z ə s
dolors	d u . l ˈo s
domèstic	d u . m ˈɛ s . t i k
domèstica	d u . m ˈɛ s . t i . k ə
domesticar	d u . m ə s . t i . k ˈa
domicili	d u . m i . s ˈi . l i
domina	d u . m ˈi . n ə
dominó	d u . m i . n ˈo
dominadors	d u . m i . n ə . d ˈo s
dominant	d u . m i . n ˈa n 
dominants	d u . m i . n ˈa n s
dominen	d u . m ˈi . n ə n
domini	d u . m ˈi . n i
dona	d ˈɔ . n ə
donació	d u . n ə . s i . ˈo
donades	d u . n ˈa . ð ə s
dona'm	d ˈo . n ə m
donant	d u . n ˈa n 
donant-li	d u . n ˈa n l i
donant-los	d u . n ˈa n l u s
donant-nos	d u . n ˈa n n u s
donar	d u . n ˈa
donaré	d u . n ə . ɾ ˈe
donaríem	d u . n ə . ɾ ˈi . ə m
donarà	d u . n ə . ɾ ˈa
donarem	d u . n ə . ɾ ˈɛ m
donaren	d u . n ˈa . ɾ ə n
donar-hi	d u . n ˈa ɾ i
donaria	d u . n ə . ɾ ˈi . ə
donar-li	d u . n ˈa ɾ l i
donar-me	d u . n ˈa ɾ m ə
donar-se	d u . n ˈa ɾ s ə
donés	d u . n ˈe s
donat	d u . n ˈa t
donats	d u . n ˈa t s
donava	d u . n ˈa . b ə
donaven	d u . n ˈa . b ə n
donà	d u . n ˈa
donàvem	d u . n ˈa . b ə m
doncs	d ˈɔ n s
donem	d u . n ˈɛ m
donen	d ˈo . n ə n
dones	d ˈɔ . n ə s
donessin	d u . n ˈe . s i n
doni	d ˈo . n i
doni'm	d ˈo . n i m
dono	d ˈo . n u
donostiarra	d u . n u s . t i . ˈa . r ə
dorm	d ˈo ɾ m
dormíem	d u ɾ . m ˈi . ə m
dormís	d u ɾ . m ˈi s
dormia	d u ɾ . m ˈi . ə
dormien	d u ɾ . m ˈi . ə n
dormim	d u ɾ . m ˈi m
dormint	d u ɾ . m ˈi n 
dormir	d u ɾ . m ˈi
dos	d ˈo s
dos-cents	d ˈo s_cents
dos-cents	d ˈo s_s ˈe n s
dosificats	d u . z i . f i . k ˈa t s
dot	d ˈɔ t
dotant-les	d u . t ˈa n l ə s
dotar	d u . t ˈa
dotat	d u . t ˈa t
dots	d ˈɔ t s
dotzè	d u d . z ˈɛ
dotze	d ˈo d . z ə
dotzena	d u d . z ˈɛ . n ə
drac	d ɾ ˈa k
dracs	d ɾ ˈa k s
drak	d ɾ ˈa k
dramàtiques	d ɾ ə . m ˈa . t i . k ə s
drapaire	d ɾ ə . p ˈa j . ɾ ə
draps	d ɾ ˈa p s
dràstiques	d ɾ ˈa s . t i . k ə s
dreamweaver	d ɾ e . ə . m w e . ə . b ˈe
dreceres	d ɾ ə . s ˈe . ɾ ə s
dret	d ɾ ˈɛ t
dreta	d ɾ ˈɛ . t ə
dretes	d ɾ ˈɛ . t ə s
drets	d ɾ ˈɛ t s
droga	d ɾ ˈɔ . g ə
drogues	d ɾ ˈɔ . g ə s
dropo	d ɾ ˈo . p u
dual	d u . ˈa l
dublín	d u . b l ˈi n
dublin	d ˈu . β l i n
dubta	d ˈu b . t ə
dubtar	d u b . t ˈa
dubtat	d u b . t ˈa t
dubtava	d u b . t ˈa . b ə
dubte	d ˈu b . t ə
dubtes	d ˈu b . t ə s
dubteu	d u b . t ˈɛ w
dubti	d ˈu b . t i
dubto	d ˈu b . t u
duc	d ˈu k
duem	d u . ˈɛ m
duen	d ˈu . ə n
duent	d u . ˈe n 
dues	d ˈu . ə s
dues-centes	d ˈu . ə s_centes
dues-centes	d ˈu . ə s_s ˈe n . t ə s
dugués	d u . g ˈe s
dugui	d ˈu . g i
duia	d ˈu . j ə
duien	d ˈu . j ə n
duna	d ˈu . n ə
duo	d ˈu . u
duplicant	d u . p l i . k ˈa n 
duplicats	d u . p l i . k ˈa t s
dur	d ˈu
dura	d ˈu . ɾ ə
durada	d u . ɾ ˈa . ð ə
durades	d u . ɾ ˈa . ð ə s
duran	d u . ɾ ˈa n
durant	d u . ɾ ˈa n 
durarà	d u . ɾ ə . ɾ ˈa
duríssim	d u . ɾ ˈi . s i m
durat	d u . ɾ ˈa t
durava	d u . ɾ ˈa . b ə
durà	d u . ɾ ˈa
dur-la	d ˈu ɾ l ə
duro	d ˈu . ɾ u
durs	d ˈu s
dury	d ˈu . ɾ j
dut	d ˈu t
duts	d ˈu t s
dutxa	d ˈu t . ʃ ə
dutxant-me	d u t . ʃ ˈa n m ə
dutxar-me	d u t . ʃ ˈa ɾ m ə
dutxar-se	d u t . ʃ ˈa ɾ s ə
dutxat	d u t . ʃ ˈa t
dutxes	d ˈu t . ʃ ə s
duu	d ˈu w
duus	d ˈu w s
e	ˈɛ
eaja	e . ˈa . ʒ ə
ebre	ˈe . b ɾ ə
eclesiàstic	ə . k l ə . z i . ˈa s . t i k
eclipsi	ə . k l ˈi p . s i
ecoenvasos	ə . k u . ə m . b ˈa . z u s
ecològic	ə . k u . l ˈɔ . ʒ i k
ecològiques	ə . k u . l ˈɔ . ʒ i . k ə s
ecologia	ə . k u . l u . ʒ ˈi . ə
ecologistes	ə . k u . l u . ʒ ˈi s . t ə s
econòmic	ə . k u . n ˈɔ . m i k
econòmica	ə . k u . n ˈɔ . m i . k ə
econòmics	ə . k u . n ˈɔ . m i k s
econòmiques	ə . k u . n ˈɔ . m i . k ə s
economia	ə . k u . n u . m ˈi . ə
ecosistema	ə . k u . z i s . t ˈɛ . m ə
edat	ə . ð ˈa t
edgar	ə d . g ˈa
edgard	ə d . g ˈa ɾ t
edició	ə . ð i . s i . ˈo
edicions	ə . ð i . s i . ˈo n s
edifici	ə . ð i . f ˈi . s i
edificis	ə . ð i . f ˈi . s i s
edita	ə . ð ˈi . t ə
editades	ə . ð i . t ˈa . ð ə s
editar	ə . ð i . t ˈa
editaré	ə . ð i . t ə . ɾ ˈe
editat	ə . ð i . t ˈa t
editeu	ə . ð i . t ˈɛ w
editor	ə . ð i . t ˈo
editorial	ə . ð i . t u . ɾ i . ˈa l
editors	ə . ð i . t ˈo s
eduard	ə . ð u . ˈa ɾ t
educació	ə . ð u . k ə . s i . ˈo
educadament	ə . ð u . k ˈa . ð ə . m ˈe n 
educatiu	ə . ð u . k ə . t ˈi w
educatius	ə . ð u . k ə . t ˈi w s
educativa	ə . ð u . k ə . t ˈi . β ə
educatives	ə . ð u . k ə . t ˈi . β ə s
edward	ə . d w ˈa ɾ t
efecte	ə . f ˈe k . t ə
efectes	ə . f ˈe k . t ə s
efectiu	ə . f ə k . t ˈi w
efectius	ə . f ə k . t ˈi w s
efectiva	ə . f ə k . t ˈi . β ə
efectivament	ə . f ə k . t ˈi . β ə . m ˈe n 
efectua	ə . f ə k . t ˈu . ə
efectuar	ə . f ə k . t u . ˈa
eficaç	ə . f i . k ˈa s
eficàcia	ə . f i . k ˈa . s i . ə
ególatra	ə . ɣ ˈo . l ə . t ɾ ə
egara	ə . ɣ ˈa . ɾ ə
egipci	ə . ʒ ˈi p . s i
egipcis	ə . ʒ ˈi p . s i s
egipte	ə . ʒ ˈi p . t ə
ego	ˈɛ . g u
egoista	ə . ɣ u . ˈi s . t ə
eh	ˈe
eina	ˈɛ j . n ə
eindhoven	ə j n . d ˈe_hoven
eindhoven	ə j n . d ˈe_ˈɔ . b ə n
eines	ˈɛ j . n ə s
eivissa	ə j . β ˈi . s ə
eivissencs	ə j . β i . s ˈɛ n k s
eix	ˈe ʃ
eiximenis	ə ʃ i . m ˈɛ . n i s
eixiré	ə ʃ i . ɾ ˈe
eixorcs	ə ʃ ˈɔ ɾ k s
eixos	ˈe . ʃ u s
eixuta	ə ʃ ˈu . t ə
ejaculació	ə . ʒ ə . k u . l ə . s i . ˈo
ejecció	ə . ʒ ə k . s i . ˈo
el	ə l
ela	ˈe . l ə
elaboració	ə . l ə . β u . ɾ ə . s i . ˈo
elaborar	ə . l ə . β u . ɾ ˈa
elaborats	ə . l ə . β u . ɾ ˈa t s
elabori	ə . l ə . b ˈɔ . ɾ i
elèctrica	ə . l ˈɛ k . t ɾ i . k ə
elèctrics	ə . l ˈɛ k . t ɾ i k s
elàstic	ə . l ˈa s . t i k
elda	ˈɛ l . d ə
eleccions	ə . l ə k . s i . ˈo n s
electrònic	ə . l ə k . t ɾ ˈɔ . n i k
electrònica	ə . l ə k . t ɾ ˈɔ . n i . k ə
electrònics	ə . l ə k . t ɾ ˈɔ . n i k s
electric	ə . l ə k . t ɾ ˈi k
electricitat	ə . l ə k . t ɾ i . s i . t ˈa t
elefant	ə . l ə . f ˈa n 
elefants	ə . l ə . f ˈa n s
elegant	ə . l ə . ɣ ˈa n 
elegants	ə . l ə . ɣ ˈa n s
elegides	ə . l ə . ʒ ˈi . ð ə s
elegir	ə . l ə . ʒ ˈi
element	ə . l ə . m ˈe n
elementals	ə . l ə . m ə n . t ˈa l s
elements	ə . l ə . m ˈe n s
elevada	ə . l ə . b ˈa . ð ə
elevades	ə . l ə . b ˈa . ð ə s
elevat	ə . l ə . b ˈa t
elf	ˈɛ l f
elfs	ə l . f ˈɛ . s ə_
elfs	ə l . f ˈɛ . s ə_
eliminar	ə . l i . m i . n ˈa
eliminarà	ə . l i . m i . n ə . ɾ ˈa
eliminar-los	ə . l i . m i . n ˈa ɾ l u s
eliminar-ne	ə . l i . m i . n ˈa ɾ n ə
eliminat	ə . l i . m i . n ˈa t
eliminem	ə . l i . m i . n ˈɛ m
elimineu	ə . l i . m i . n ˈɛ w
elisabet	ə . l i . z ə . b ˈɛ t
elisenda	ə . l i . z ˈɛ n . d ə
elit	ə . l ˈi t
ell	ˈe ʎ
ella	ˈe . ʎ ə
elles	ˈe . ʎ ə s
ells	ˈe ʎ s
elna	ˈɛ l . n ə
elogi	ə . l ˈɔ . ʒ i
eloi	ə . l ˈɔ j
elp	ˈɛ l . p ə_
elp	ˈɛ l . p ə_
els	ə l s
elx	ˈɛ l ʃ
em	ə m
ema	ˈe . m ə
email	i . m ˈe j l
embadalida	ə m . b ə . ð ə . l ˈi . ð ə
embafadora	ə m . b ə . f ə . d ˈo . ɾ ə
embalar	ə m . b ə . l ˈa
embalum	ə m . b ə . l ˈu m
embús	ə m . b ˈu s
embarassada	ə m . b ə . ɾ ə . s ˈa . ð ə
embaràs	ə m . b ə . ɾ ˈa s
embassament	ə m . b ə . s ə . m ˈe n
embogien	ə m . b u . ʒ ˈi . ə n
embogint	ə m . b u . ʒ ˈi n 
embolcall	ə m . b u l . k ˈa ʎ
embolcallant	ə m . b u l . k ə . ʎ ˈa n 
embolcallava	ə m . b u l . k ə . ʎ ˈa . b ə
embolic	ə m . b u . l ˈi k
embolica	ə m . b u . l ˈi . k ə
embolicada	ə m . b u . l i . k ˈa . ð ə
embolicant-se	ə m . b u . l i . k ˈa n s ə
embolicar	ə m . b u . l i . k ˈa
embolicat	ə m . b u . l i . k ˈa t
embolicats	ə m . b u . l i . k ˈa t s
embolics	ə m . b u . l ˈi k s
emboliquen	ə m . b u . l ˈi . k ə n
emborratxa	ə m . b u . r ˈa t . ʃ ə
emborratxant-me	ə m . b u . r ə t . ʃ ˈa n m ə
emborratxava	ə m . b u . r ə t . ʃ ˈa . b ə
embotiment	ə m . b u . t i . m ˈe n
embotits	ə m . b u . t ˈi t s
embranzida	ə m . b ɾ ə n . z ˈi . ð ə
embrutat	ə m . b ɾ u . t ˈa t
embrutats	ə m . b ɾ u . t ˈa t s
embrutes	ə m . b ɾ ˈu . t ə s
embuts	ə m . b ˈu t s
emergència	ə . m ə ɾ . ʒ ˈɛ n . s i . ə
emergent	ə . m ə ɾ . ʒ ˈe n 
emergents	ə . m ə ɾ . ʒ ˈe n s
emesos	ə . m ˈɛ . z u s
emet	ə . m ˈɛ t
emetent	ə . m ə . t ˈe n 
emetia	ə . m ə . t ˈi . ə
emetrà	ə . m ə . t ɾ ˈa
emetre	ə . m ˈɛ . t ɾ ə
emfatitzant	ə m . f ə . t i d . z ˈa n 
emigrada	ə . m i . ɣ ɾ ˈa . ð ə
emigrar	ə . m i . ɣ ɾ ˈa
emilia	ə . m i . l ˈi . ə
emissió	ə . m i . s i . ˈo
emissores	ə . m i . s ˈo . ɾ ə s
emmagatzemar	ə m . m ə . ɣ ə d . z ə . m ˈa
emmagatzematge	ə m . m ə . ɣ ə d . z ə . m ˈa d . ʒ ə
emmagatzemats	ə m . m ə . ɣ ə d . z ə . m ˈa t s
emmarcades	ə m . m ə ɾ . k ˈa . ð ə s
emoció	ə . m u . s i . ˈo
emocional	ə . m u . s i . u . n ˈa l
emocionant	ə . m u . s i . u . n ˈa n 
emocionat	ə . m u . s i . u . n ˈa t
emocions	ə . m u . s i . ˈo n s
empènyer	ə m . p ˈɛ . ɲ ə
empènyer-lo	ə m . p ˈɛ . ɲ ə ɾ l u
empúries	ə m . p ˈu . ɾ i . ə s
empès	ə m . p ˈɛ s
empassa	ə m . p ˈa . s ə
empassant	ə m . p ə . s ˈa n 
empassar	ə m . p ə . s ˈa
empassar-se	ə m . p ə . s ˈa ɾ s ə
empasso	ə m . p ˈa . s u
empenta	ə m . p ˈɛ n . t ə
empentes	ə m . p ˈɛ n . t ə s
empeny	ə m . p ˈɛ ɲ
empenyien	ə m . p ə . ɲ ˈi . ə n
emperador	ə m . p ə . ɾ ə . d ˈo
emperadors	ə m . p ə . ɾ ə . d ˈo s
empesquen	ə m . p ˈɛ s . k ə n
empleats	ə m . p l e . ˈa t s
emplenada	ə m . p l ə . n ˈa . ð ə
emplenar	ə m . p l ə . n ˈa
empleneu	ə m . p l ə . n ˈɛ w
empobrit	ə m . p u . β ɾ ˈi t
empordà	ə m . p u ɾ . d ˈa
emportar	ə m . p u ɾ . t ˈa
emportaven	ə m . p u ɾ . t ˈa . b ə n
emportin	ə m . p ˈɔ ɾ . t i n
emprades	ə m . p ɾ ˈa . ð ə s
emprar	ə m . p ɾ ˈa
empraven	ə m . p ɾ ˈa . b ə n
empremtes	ə m . p ɾ ˈɛ m . t ə s
emprendre	ə m . p ɾ ˈɛ n . d ɾ ə
emprenedors	ə m . p ɾ ə . n ə . d ˈo s
emprenyada	ə m . p ɾ ə . ɲ ˈa . ð ə
emprenyades	ə m . p ɾ ə . ɲ ˈa . ð ə s
emprenyar	ə m . p ɾ ə . ɲ ˈa
emprenyat	ə m . p ɾ ə . ɲ ˈa t
emprenyis	ə m . p ɾ ˈɛ . ɲ i s
empresa	ə m . p ɾ ˈɛ . z ə
empresari	ə m . p ɾ ə . z ˈa . ɾ i
empresarial	ə m . p ɾ ə . z ə . ɾ i . ˈa l
empresarials	ə m . p ɾ ə . z ə . ɾ i . ˈa l s
empreses	ə m . p ɾ ˈɛ . z ə s
empresonades	ə m . p ɾ ə . z u . n ˈa . ð ə s
empresonats	ə m . p ɾ ə . z u . n ˈa t s
emprovareu	ə m . p ɾ u . β ə . ɾ ˈɛ w
emulació	ə . m u . l ə . s i . ˈo
emulacions	ə . m u . l ə . s i . ˈo n s
en	ə n
ençà	ə n . s ˈa
enamora	ə . n ə . m ˈo . ɾ ə
enamorades	ə . n ə . m u . ɾ ˈa . ð ə s
enamorar	ə . n ə . m u . ɾ ˈa
enamorat	ə . n ə . m u . ɾ ˈa t
enamorats	ə . n ə . m u . ɾ ˈa t s
enèsima	ə . n ˈɛ . z i . m ə
encabeixi	ə n . k ə . b ˈɛ ʃ i
encadenar	ə n . k ə . ð ə . n ˈa
encaixar	ə n . k ə ʃ ˈa
encalmat	ə n . k ə l . m ˈa t
encaminada	ə n . k ə . m i . n ˈa . ð ə
encaminem	ə n . k ə . m i . n ˈɛ m
encén	ə n . s ˈe n
encant	ə n . k ˈa n 
encanta	ə n . k ˈa n . t ə
encantador	ə n . k ə n . t ə . d ˈo
encantadora	ə n . k ə n . t ə . d ˈo . ɾ ə
encantats	ə n . k ə n . t ˈa t s
encantava	ə n . k ə n . t ˈa . b ə
encanteri	ə n . k ə n . t ˈɛ . ɾ i
encapçala	ə n . k ə p . s ˈa . l ə
encapçalada	ə n . k ə p . s ə . l ˈa . ð ə
encara	ə n . k ˈa . ɾ ə
encarna	ə n . k ˈa ɾ . n ə
encarregada	ə n . k ə . r ə . ɣ ˈa . ð ə
encarregades	ə n . k ə . r ə . ɣ ˈa . ð ə s
encarregar	ə n . k ə . r ə . ɣ ˈa
encarregarà	ə n . k ə . r ə . ɣ ə . ɾ ˈa
encarregat	ə n . k ə . r ə . ɣ ˈa t
encarregats	ə n . k ə . r ə . ɣ ˈa t s
encarregaven	ə n . k ə . r ə . ɣ ˈa . b ə n
encès	ə n . s ˈɛ s
encàrrec	ə n . k ˈa . r ə k
encàrrecs	ə n . k ˈa . r ə k s
encefalopaties	ə n . s ə . f ə . l u . p ə . t ˈi . ə s
encegadora	ə n . s ə . ɣ ə . d ˈo . ɾ ə
enceníem	ə n . s ə . n ˈi . ə m
encendre	ə n . s ˈɛ n . d ɾ ə
encenedors	ə n . s ə . n ə . d ˈo s
encenent	ə n . s ə . n ˈe n 
encengui	ə n . s ˈɛ n . g i
encerar	ə n . s ə . ɾ ˈa
encerclaran	ə n . s ə ɾ . k l ə . ɾ ˈa n
encerclar-me	ə n . s ə ɾ . k l ˈa ɾ m ə
encertar	ə n . s ə ɾ . t ˈa
encertat	ə n . s ə ɾ . t ˈa t
encertem	ə n . s ə ɾ . t ˈɛ m
encerto	ə n . s ˈɛ ɾ . t u
encesa	ə n . s ˈɛ . z ə
encesos	ə n . s ˈɛ . z u s
encetada	ə n . s ə . t ˈa . ð ə
encetar	ə n . s ə . t ˈa
enciam	ə n . s i . ˈa m
enciclopèdia	ə n . s i . k l u . p ˈɛ . ð i . ə
encimera	ə n . s i . m ˈe . ɾ ə
encisaven	ə n . s i . z ˈa . b ə n
enclavament	ə n . k l ə . b ə . m ˈe n
encoixinades	ə n . k u ʃ i . n ˈa . ð ə s
encomanat	ə n . k u . m ə . n ˈa t
encoratjo	ə n . k u . ɾ ˈa t . ʒ u
encreuament	ə n . k ɾ ə . w ə . m ˈe n
encreuaments	ə n . k ɾ ə . w ə . m ˈe n s
encuriosides	ə n . k u . ɾ i . u . z ˈi . ð ə s
encuriosit	ə n . k u . ɾ i . u . z ˈi t
endèmica	ə n . d ˈɛ . m i . k ə
endarrere	ə n . d ə . r ˈe . ɾ ə
endaval	ə n . d ə . b ˈa l
endavant	ə n . d ə . b ˈa n 
endívia	ə n . d ˈi . β i . ə
endemà	ə n . d ə . m ˈa
enderrocar	ə n . d ə . r u . k ˈa
endeutat	ə n . d ə w . t ˈa t
endevinar	ə n . d ə . β i . n ˈa
endevinat	ə n . d ə . β i . n ˈa t
endevinessin	ə n . d ə . β i . n ˈe . s i n
endormiscats	ə n . d u ɾ . m i s . k ˈa t s
endreçant	ə n . d ɾ ə . s ˈa n 
endreço	ə n . d ɾ ˈe . s u
enduc	ə n . d ˈu k
endur	ə n . d ˈu
enduriment	ə n . d u . ɾ i . m ˈe n
endurir	ə n . d u . ɾ ˈi
endurit	ə n . d u . ɾ ˈi t
endur-me	ə n . d ˈu ɾ m ə
endur-se	ə n . d ˈu ɾ s ə
enduu	ə n . d ˈu w
ene	ˈɛ . n ə
enemics	ə . n ə . m ˈi k s
enemistar-se	ə . n ə . m i s . t ˈa ɾ s ə
energètica	ə . n ə ɾ . ʒ ˈɛ . t i . k ə
energètiques	ə . n ə ɾ . ʒ ˈɛ . t i . k ə s
energia	ə . n ə ɾ . ʒ ˈi . ə
energies	ə . n ə ɾ . ʒ ˈi . ə s
enfadar	ə m . f ə . ð ˈa
enfadar-se	ə m . f ə . ð ˈa ɾ s ə
enfadat	ə m . f ə . ð ˈa t
enfangaria	ə m . f ə n . g ə . ɾ ˈi . ə
enfangat	ə m . f ə n . g ˈa t
enfarinat	ə m . f ə . ɾ i . n ˈa t
enfilant	ə m . f i . l ˈa n 
enfilaren	ə m . f i . l ˈa . ɾ ə n
enfilat	ə m . f i . l ˈa t
enfilava	ə m . f i . l ˈa . b ə
enfocant	ə m . f u . k ˈa n 
enfocar	ə m . f u . k ˈa
